"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","Method Description","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/21/2020","AQS","410170004","3","1.8","ug/m3 LC","10","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/22/2020","AQS","410170004","3","3","ug/m3 LC","17","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/23/2020","AQS","410170004","3","3.6","ug/m3 LC","20","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/24/2020","AQS","410170004","3","3","ug/m3 LC","17","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/25/2020","AQS","410170004","3","3.6","ug/m3 LC","20","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/26/2020","AQS","410170004","3","2.6","ug/m3 LC","14","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/27/2020","AQS","410170004","3","2.1","ug/m3 LC","12","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/28/2020","AQS","410170004","3","1.7","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/29/2020","AQS","410170004","3","4.3","ug/m3 LC","24","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/30/2020","AQS","410170004","3","7.9","ug/m3 LC","44","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"01/31/2020","AQS","410170004","3","3.6","ug/m3 LC","20","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/01/2020","AQS","410170004","3","1.7","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/02/2020","AQS","410170004","3","1.9","ug/m3 LC","11","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/03/2020","AQS","410170004","3","2.3","ug/m3 LC","13","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/04/2020","AQS","410170004","3","5","ug/m3 LC","28","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/05/2020","AQS","410170004","3","1.6","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/06/2020","AQS","410170004","3","1.3","ug/m3 LC","7","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/07/2020","AQS","410170004","3","1.4","ug/m3 LC","8","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/08/2020","AQS","410170004","3","1.7","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/09/2020","AQS","410170004","3","2.7","ug/m3 LC","15","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/10/2020","AQS","410170004","3","3.4","ug/m3 LC","19","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/11/2020","AQS","410170004","3","3.3","ug/m3 LC","18","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/12/2020","AQS","410170004","3","4.6","ug/m3 LC","26","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/13/2020","AQS","410170004","3","2.4","ug/m3 LC","13","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/14/2020","AQS","410170004","3","1.6","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/15/2020","AQS","410170004","3","2.3","ug/m3 LC","13","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/16/2020","AQS","410170004","3","1.6","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/17/2020","AQS","410170004","3","2.8","ug/m3 LC","16","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/18/2020","AQS","410170004","3","4","ug/m3 LC","22","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/19/2020","AQS","410170004","3","4.3","ug/m3 LC","24","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/20/2020","AQS","410170004","3","5.4","ug/m3 LC","30","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/21/2020","AQS","410170004","3","6","ug/m3 LC","33","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/22/2020","AQS","410170004","3","4.7","ug/m3 LC","26","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/23/2020","AQS","410170004","3","2.2","ug/m3 LC","12","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/24/2020","AQS","410170004","3","3.1","ug/m3 LC","17","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/25/2020","AQS","410170004","3","3.2","ug/m3 LC","18","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/26/2020","AQS","410170004","3","3.4","ug/m3 LC","19","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/27/2020","AQS","410170004","3","3.8","ug/m3 LC","21","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/28/2020","AQS","410170004","3","3.3","ug/m3 LC","18","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"02/29/2020","AQS","410170004","3","1.6","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/01/2020","AQS","410170004","3","2.1","ug/m3 LC","12","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/02/2020","AQS","410170004","3","1.6","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/03/2020","AQS","410170004","3","2.7","ug/m3 LC","15","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/05/2020","AQS","410170004","3","2.9","ug/m3 LC","16","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/06/2020","AQS","410170004","3","3.5","ug/m3 LC","19","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/07/2020","AQS","410170004","3","1.7","ug/m3 LC","9","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/08/2020","AQS","410170004","3","2.3","ug/m3 LC","13","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/09/2020","AQS","410170004","3","3.4","ug/m3 LC","19","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
"03/10/2020","AQS","410170004","3","4.7","ug/m3 LC","26","Sisters Forest Service Station (SFS)","1","100.0000","88502","Acceptable PM2.5 AQI & Speciation Mass","771","Correlated Radiance Research M903 With Heated Inlet","13460","Bend-Redmond, OR","41","Oregon","017","Deschutes","44.2921","-121.5555"
