Serial,FireYear,IncidentNumber,FiscalYear,FireArea,District,Unit,FireName,StatisticalCategory,PreparedBy,Landmark,Equipment,NumberPersonnel,PreparedDate,ModifiedBy,ModifiedDate,Twn,Rng,Sec,Subdiv,Longitude,Latitude,ProtectionAgency,FireOriginFederalLands,LandClass,FireThreatened,Minimum,Dual,County,LandownerType,OriginalSurcharge,SurchargeInvolved,SenateBill360Lot,SenateBill360Certified,DiscoveredBy,DiscoveredByName,CausedBy,GeneralCause,SpecificCause,CauseComments,LeadInvestigator,Degree_certain,GeneralRestriction,IndustrialRestriction,BurnIndex,WeatherStationID,RegulatedUseZone,Involve_op,Notif_year,Notif_dist,Notif_number,IgnitionTime,DiscoveryTime,ReportTime,InitialAttackTime,ControlTime,WalkInDelay,FemaFire,IntitialAttackBy,InitialAttackType,Flame_length,InitialAttackFireSizeAcres,InitialAttackBehavior,GeneralFuelModels,Topography,Aspect,Slope,Elevation,SizeClass,FinalFireSizeAcres,StateProtectedAcres,ESRI_OID,CauseType,x,y
134308,2023,23-733-450-23,2023,,73,733,Thunder Mtn             ,1,Chelsea Arney           ,Glide                         ,,,6/6/2023 12:00:00 AM,sshepherd,6/20/2023 4:21:00 PM,26S   ,2W    ,32,SWSW,-122.955,43.2585,1,1,1,1,0,0,10,11,0,0,0,,6,Mike Forrester          ,9,10,0,Recreationalist warming fire,Justin Grubbs,,1,1,,353048 North Bank       ,DG1,1,,,,5/31/2023 4:01:00 PM,5/31/2023 3:58:00 PM,5/31/2023 4:01:00 PM,5/31/2023 4:32:00 PM,6/1/2023 12:23:00 AM,0,0,1,3,,5,2,3,0,0,0,0,3,11.25,11.24,120822,3,658485.625328079,559678.89173229
134309,2023,23-581-084-23,2023,,58,581,Barlow Backyard Burn    ,1,Xea Sprague             ,12 mi E of Sandy              ,,,6/6/2023 12:00:00 AM,KADEVINE,6/9/2023 12:23:00 PM,2S    ,6E    ,24,NESW,-122.019,45.3806,1,1,1,1,0,0,3,13,0,0,2,,8,                        ,5,6,615,Landowner lit a small pile and ignited surrounding brush,"Burciaga, Amanda",,0,0,,350728 Eagle Creek      ,CM1,1,,,,6/6/2023 12:00:00 PM,6/6/2023 12:00:00 PM,6/6/2023 12:27:00 PM,6/6/2023 12:35:00 PM,6/6/2023 2:45:00 PM,0,0,2,3,,0.25,1,2,0,0,0,0,1,0.25,0.25,120823,3,922048.210301831,1327011.17683727
134312,2023,23-732-447-23,2023,,73,732,Windy Valley            ,1,Chelsea Arney           ,,,,6/6/2023 12:00:00 AM,Oblankenship,6/26/2023 6:15:00 PM,32S   ,6W    ,12,SWSE,-123.354,42.7862,1,1,1,1,0,0,10,20,0,0,0,,6,                        ,15,10,0,All evidence was destroed during I.A.,Tyler Premo,,0,0,,353041 Silver Butte     ,DG2,1,,,,5/28/2023 7:00:00 PM,5/28/2023 7:02:00 PM,5/28/2023 7:04:00 PM,5/28/2023 7:20:00 PM,5/28/2023 8:21:00 PM,0,0,1,3,,0.01,1,8,1,1,1,0,1,0.01,0.01,120824,3,546274.901574805,391076.125656173
134316,2023,23-711-494-23,2023,,71,711,Sawyer Rd 20533         ,1,Anthony Ryan            ,0.98 miles West of Shady Cove ,,,6/6/2023 12:00:00 AM,Smaddox,6/17/2023 11:40:00 AM,34S   ,1W    ,16,SWNW,-122.831,42.6168,1,1,1,1,0,1,15,12,1,0,2,,6,Anonymous               ,5,9,999,Magnification,Anthony Ryan,,1,1,26 ,EVANS CREEK             ,SW1,1,,,,6/6/2023 1:30:00 PM,6/6/2023 1:50:00 PM,6/6/2023 1:52:00 PM,6/6/2023 2:00:00 PM,6/9/2023 12:54:00 PM,0,0,1,2,,0.25,2,1,1,1,1,1,2,0.5,0.5,120825,3,684862.697506562,324921.123031497
134320,2023,23-711-498-23,2023,,71,711,Antioch Rd MM 6         ,1,Shelby Maddox           ,4.8 miles Southwest of Shady C,,,6/6/2023 12:00:00 AM,smaddox,6/7/2023 8:15:00 PM,35S   ,1W    ,6 ,NESW,-122.867,42.5545,1,1,1,2,0,0,15,12,0,0,2,,6,Kathy                   ,1,1,101, Lightning,T. Burkhart,,1,1,26 ,353228 Evans            ,SW2,1,,,,6/6/2023 4:47:00 PM,6/6/2023 4:47:00 PM,6/6/2023 4:50:00 PM,6/6/2023 4:51:00 PM,6/9/2023 12:00:00 AM,0,0,6,1,,0.1,2,1,1,1,1,1,1,0.1,0.1,120826,2,674519.991469815,302498.391076118
134322,2023,23-955-152-23,2023,,95,955,Dorrance Meadow 0212 OD ,1,Snow                    ,South on Dorrance Meadow Rd   ,,,6/6/2023 12:00:00 AM,cdayton,7/5/2023 5:17:00 PM,22S   ,10E   ,08,NWNW,-121.562,43.6847,1,1,1,1,0,0,9,11,0,0,0,,2,Round Mountain          ,9,4,402,camp Fire not properly extinguished an spread to wildland,Landen Bender,,1,1,,352605 Round Mountain   ,WC2,1,,,,6/5/2023 6:00:00 PM,6/6/2023 11:10:00 AM,6/6/2023 11:13:00 AM,6/6/2023 12:56:00 PM,6/7/2023 3:55:00 PM,0,0,2,4,,1.25,2,9,0,0,0,0,2,1.5,1.5,120827,3,1031466.02427821,707050.262467191
134329,2023,23-772-125-23,2023,,77,772,Jones Dr 1              ,1,Elijah Woodward         ,1 Mi NE of Foster             ,,,6/7/2023 12:00:00 AM,EDWOODWARD,6/22/2023 8:47:00 AM,13S   ,1E    ,22,NESE,-122.665,44.422,1,1,1,1,1,1,22,13,1,1,0,,6,Brian Thompson          ,6,6,604,"An unattended debris burn escaped, causing a fire",Justin Wolfe,,5,1,,352553 Brush Creek      ,LN1,1,,,,5/23/2023 12:00:00 PM,6/6/2023 7:29:00 PM,6/6/2023 7:30:00 PM,6/6/2023 7:45:00 PM,6/6/2023 10:15:00 PM,0,0,1,4,,0.1,1,12,0,0,0,0,1,0.1,0.1,120828,3,746884.353018373,981408.078412071
134333,2023,23-731-435-23,2023,,73,731,Cole Rd Fire            ,1,Chelsea Arney           ,Roseburg                      ,,,6/7/2023 12:00:00 AM,mperez,10/4/2023 5:38:00 PM,25S   ,6W    ,8 ,SENW,-123.435,43.4083,1,1,2,2,1,0,10,10,1,1,0,,8,                        ,5,6,699,No fire line around debris burning pile,Nic Freeman,,0,0,,353048 North Bank       ,DG1,1,,,,5/9/2023 2:30:00 PM,5/9/2023 2:30:00 PM,5/9/2023 2:30:00 PM,5/9/2023 3:19:00 PM,5/9/2023 3:23:00 PM,0,0,2,3,,3,2,1,1,1,1,1,2,4,4,120829,3,532645.774934381,618436.149278209
134337,2023,23-954-076-23,2023,,95,954,PIPELINE TRAIL 0318     ,1,Sebastian Marquez       ,5.35 miles South of Hood River,,,6/7/2023 12:00:00 AM,JMARQUEZ,6/20/2023 11:04:00 AM,3N    ,10E   ,36,SESE,-121.514,45.6281,1,1,1,1,1,1,14,,0,0,,,5,                        ,14,6,601,Transient warming/cooking fire left unattended.,"Marquez, Sebastian",,0,0,,MIDDLE MTN              ,MH1,1,,,,6/6/2023 12:00:00 AM,6/6/2023 9:48:00 AM,6/6/2023 9:53:00 AM,6/6/2023 10:40:00 AM,6/6/2023 10:51:00 AM,,0,5,1,,0.25,1,9,0,0,0,0,1,0.1,0.1,120831,3,1052909.06233595,1415250.82053806
134338,2023,23-954-077-23,2023,,95,954,POWER CANAL 322         ,1,Sebastian Marquez       ,1.55 miles South of Hood River,,,6/7/2023 12:00:00 AM,ECASTANEDA,9/19/2023 3:27:00 PM,2N    ,10E   ,2 ,NESE,-121.524,45.6831,6,1,10,1,0,0,14,13,0,0,2,,8,,6,6,604,Fire Spread from unattended Burn Pile,"Marquez, Sebastian",,0,0,,MIDDLE MTN              ,MH4,1,,,,6/6/2023 6:00:00 AM,6/6/2023 3:31:00 PM,6/6/2023 3:33:00 PM,6/6/2023 3:40:00 PM,6/6/2023 5:49:00 PM,0,0,2,4,,0.75,3,1,0,0,0,0,2,0.75,0,120832,3,1050600.85104987,1435337.90059055
